campana escenario seed thr sys favorable
largo_120 demanda_saturada seed_281772 17.5 -14.9 1
largo_120 demanda_saturada seed_372292 -41.5 -14.9 0
largo_120 demanda_saturada seed_400290 -45.1 -11.4 0
largo_120 demanda_saturada seed_423459 104.1 12.8 1
largo_120 demanda_saturada seed_449463 28.4 -3.5 1
largo_120 demanda_saturada seed_843099 332.8 -0.3 1
largo_120 demanda_saturada seed_950893 -30.7 -13.3 0
largo_120 demanda_saturada seed_974616 40.5 -3.9 1
largo_120 hora_pico seed_157300 28.7 5.4 1
largo_120 hora_pico seed_214181 -13.8 -16.3 0
largo_120 hora_pico seed_281772 13.5 -9.7 1
largo_120 hora_pico seed_372292 24.8 -5.0 1
largo_120 hora_pico seed_400290 23.6 -1.3 1
largo_120 hora_pico seed_423459 24.0 -4.4 1
largo_120 hora_pico seed_449463 111.8 21.1 1
largo_120 hora_pico seed_843099 -37.5 -14.9 0
largo_120 hora_pico seed_950893 46.1 0.1 1
largo_120 hora_pico seed_974616 -52.1 -19.2 0
